神器名,アイテム説明,使用方法,使用回数,MP消費量,MP必要量,消費アイテム,CT,グローバルCT,対応信仰神
人間性,－人間性を捧げよ－使用すると体力をすべて回復するがまれに人間性の過剰摂取により暴走し、亡者となる,アイテムを使用,1,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ ルーモア
マスケット銃(マッチロック),マッチロック式の銃、俗に言う火縄銃。命中精度は悪い。,右クリック,,0,,item.minecraft.gunpowder x1,600,,アーバン ウィ=キ ルーモア
不思議なタンバリン,周囲のプレイヤー及び味方モブの攻撃力を大幅に上昇させる。,右クリック,1,80,None,None,None,None,フローラ アーバン ウィ=キ ルーモア
あやしいハッパ,不思議な草だ。とても怪しい匂いがする「キマってきた？」,アイテムを使用,5,0,None,None,None,None,フローラ アーバン ウィ=キ
ゴーレムコア,アイアンゴーレムの核となる精密機械鉄ブロックに取り付けるだけでゴーレムを製造できる。,右クリック,30,0,None,block.minecraft.iron_block x1,None,None,フローラ アーバン ニャプトフ ウィ=キ ルーモア
有害図書,毒素を含んだ書物攻撃対象に見せると不定のデバフを与える。,装備しEntityを近接攻撃,None,5,None,None,None,None,フローラ ウィ=キ ルーモア
聖書,神の加護を受けた書物文章の内から治癒の力を感じる。,装備しEntityを近接攻撃,None,20,None,None,None,None,フローラ ニャプトフ ウィ=キ ルーモア
アメン・ラーの杖,異邦の神が扱う杖周囲のMobを発光させる。,右クリック,100,10,None,None,None,None,フローラ ニャプトフ ウィ=キ ルーモア
アリアドネの糸,いともった？,右クリック,1,10000,100,None,None,None,フローラ アーバン ニャプトフ ウィ=キ ルーモア
スズランチャーム,儚い花の香りを宿した大斧ひとたび敵に振るえば、付いた傷跡に猛毒がしみこむ。,メインハンドに所持しEntityを攻撃,100,0,None,block.minecraft.lily_of_the_valley x1,20,None,フローラ アーバン ニャプトフ ルーモア
渦潮の杖,近くの敵に水属性のダメージを与える。敵が水中にいる場合ダメージは倍になる。,右クリック,None,40,None,None,200,None,フローラ ニャプトフ ウィ=キ ルーモア
刀剣『滝登り』,滝を登るかの如く、敵と自分を上に飛ばす剣。敵に水属性ダメージを与える,装備しEntityを近接攻撃,50,25,None,None,None,None,フローラ アーバン ルーモア
豊穣の鍬,周囲5mの範囲の作物を最大まで成長させる,右クリック,50,0,None,item.minecraft.bone_mealx8,None,None,フローラ ウィ=キ ルーモア
nazoniku 謎肉 ukinozan,謎に包まれた肉。なんの動物かもわからない食べるとランダムな効果が付く・・・気がする,アイテムを使用,666,0,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
イシキリブレード,痛そう,装備しEntityを近接攻撃,None,5,None,None,None,None,フローラ アーバン ルーモア
ストームボウ,周囲のモブの上から矢を降らす,右クリック,None,5,None,item.minecraft.arrow x1,None,None,フローラ アーバン ルーモア
携帯食料,一見、チョコレートのように見える,右クリック,5,1,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
加護のブーツ,神々の加護を受けたブーツ奈落から身を守る機能もあるが、実戦向きではない,装備している限り,1,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ ルーモア
加護のレギンス,神々の加護を受けたレギンス奈落から身を守る機能もあるが、実戦向きではない,装備している限り,1,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ ルーモア
加護のアーマー,神々の加護を受けたアーマー奈落から身を守る機能もあるが、実戦向きではない,装備している限り,1,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ ルーモア
加護のヘルメット,神々の加護を受けたヘルメット奈落から身を守る機能もあるが、実戦向きではない,装備している限り,1,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ ルーモア
4生命、宇宙、そして万物についての究極の疑問の答え2,750万年かけて計算した生命、宇宙、そして万物についての究極の疑問の答えを自身のMPに代入する,右クリック,1,0,None,None,None,None,フローラ アーバン ウィ=キ ルーモア
増えるクッキー,幾億ものクッキーを生み出す可能性を秘めている,右クリック,None,10,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
