神器名,アイテム説明,使用方法,使用回数,MP消費量,MP必要量,消費アイテム,CT,グローバルCT,対応信仰神
マジックシールド,食らうダメージを1度だけ80%軽減する,右クリック,35,0,None,None,100,None,ウィ=キ ルーモア
魔女に与える鉄槌,魔女に鉄槌を与えるのではなく、鉄槌を与えられたものが魔女なのである,右クリック,None,150,None,None,None,None,フローラ ウィ=キ ルーモア
羊の加護,,右クリック,None,0,None,block.minecraft.white_wool  x16,38,None,フローラ ルーモア
ネクロノミコン,異界から魔神を召喚する禁術書,右クリック,None,90,None,None,60,None,ニャプトフ ウィ=キ
バキューム・ホッパー,吸引力の変わらないただ一つの掃除機。めんどくさがり屋のあなたへ！,右クリック,None,10,None,None,None,None,ニャプトフ ウィ=キ ルーモア
esrever 逆転写魔素 reverse,オフハンドの神器の対価を自らの魔力にする,右クリック,1,0,None,None,None,None,フローラ ニャプトフ ウィ=キ ルーモア
ホルスの杖,周囲のプレイヤーの体力をそこそこ回復する,右クリック,None,25,None,None,8,None,フローラ ニャプトフ ウィ=キ ルーモア
夢幻泡影,オフハンドに持っている間最大HPが1になり透明状態になる,装備している限り,None,0,None,None,None,None,フローラ ウィ=キ
テラダブリス,目の前に武器の幻影を作り出し、魔法弾を連射する。もちろん、剣としての斬れ味も抜群。\\,右クリック,None,15,100,None,30,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
アイアンストーム,40ブロック先に天からの砲撃支援を行う。,右クリック,135,120,None,None,600,None,アーバン ウィ=キ
奈落との取引,絶大な力を得る代償に奈落へ引きずり込まれる。,右クリック,1,0,None,None,None,None,フローラ アーバン ニャプトフ
ヒール レベル5,治癒の祈りを通じて発動者および味方を回復する。[詳細]体力を7.5回復する。,右クリック,None,15,None,None,20,None,フローラ ニャプトフ ウィ=キ ルーモア
ホーリーシンボル レベル5,聖なる魔法陣を生成し発動者および味方の精神を浄化する。[詳細]1秒ごとにMPを9回復する。16秒間、物理/魔法ダメージ、攻撃速度が9%増加する。,右クリック,None,0,None,None,None,3600,フローラ ニャプトフ ウィ=キ ルーモア
