神器名,アイテム説明,使用方法,使用回数,MP消費量,MP必要量,消費アイテム,CT,グローバルCT,対応信仰神
ファルシオスの杖,周囲のプレイヤーの体力を大きく回復する,右クリック,None,30,None,None,8,None,フローラ ニャプトフ ウィ=キ ルーモア
対物ライフル,対象を破壊するため作られた銃効果はモブだけでなく、ブロックにも及ぶ,右クリック,None,80,None,None,60,None,アーバン ウィ=キ
マジカルステッキ,MPを全て消費し、超強力な攻撃をぶちかます。天使に対してはダメージが半減する。,装備しEntityを近接攻撃,5,99999,0,None,1200,600,フローラ ニャプトフ ルーモア
ホーリー・バリア,罠カード(1)相手モンスターの攻撃時に発動する。発動プレイヤーを攻撃対象にしているモンスターを全て破壊する。,装備し被攻撃ダメージ,1,0,,,,16000,フローラ アーバン ニャプトフ ウィ=キ ルーモア
ヒール レベル10,治癒の祈りを通じて発動者および味方を回復する。[詳細]体力を9.6回復する。,右クリック,None,15,None,None,20,None,ニャプトフ ウィ=キ ルーモア
ホーリーシンボル レベル10,聖なる魔法陣を生成し発動者および味方の精神を浄化する。[詳細]1秒ごとにMPを19回復する。22秒間、物理/魔法ダメージ、攻撃速度が19%増加する。,右クリック,None,0,None,None,None,3600,ニャプトフ ウィ=キ ルーモア
エンジェルレイ レベル10,聖霊のオーラに満ちた強烈な光芒を前方に放ち、対象にダメージを与え、味方は回復させる。[詳細]対象:攻撃が命中すると1171.3の魔法ダメージを与える。味方:体力を53.1回復する。,右クリック,None,30,None,None,600,None,ニャプトフ ウィ=キ ルーモア
rainbow 極虹の水晶 crystal,潤いと七色の輝きに満ちた結晶§2§o翠の魂§r§oは§b§o水§r§oに謡い§b§o蒼き水§r§oは§4§o焔§r§oを鎮める§4§o紅き焔§r§oは§6§o稲妻§r§oを焦し§6§o金の雷§r§oは§2§o草木§r§oに光を齎す,右クリック,5,99999,0,None,None,100,フローラ ニャプトフ ルーモア
天 天鍵杖 鍵,時雨 驟雨 零雨 五月淡雪 霙 野分に唄え東風 南風 北風 西風夜風を散らし 晴嵐に舞え,右クリック,None,75,None,None,None,6000,フローラ アーバン ウィ=キ
コスモブルーフラッシュ,「あなたは、あやしいへんたいふしんしゃです」,右クリック,None,25,None,None,50,None,フローラ ウィ=キ ルーモア
人が人であるために,全てのプレイヤーについて失ったHPの75%を回復し、自分以外の全てのプレイヤーのMPを150回復する。さらに、全てのプレイヤーの周囲の敵全てにダメージを与える。,右クリック,None,99999,0,None,None,3600,フローラ アーバン ウィ=キ ルーモア
†カタストロフィ†,崩壊の騎士のための装備傷付く度に、快楽を求めた,装備し被攻撃ダメージ,None,5,None,None,None,None,フローラ アーバン ウィ=キ
†カタストロフィ†,崩壊の騎士のための装備傷付く度に、快楽を求めた,装備し被攻撃ダメージ,None,5,None,None,None,None,フローラ アーバン ウィ=キ
†カタストロフィ†,崩壊の騎士のための装備傷付く度に、快楽を求めた,装備し被攻撃ダメージ,None,5,None,None,None,None,フローラ アーバン ウィ=キ
†カタストロフィ†,崩壊の騎士のための装備傷付く度に、快楽を求めた,装備し被攻撃ダメージ,None,5,None,None,None,None,フローラ アーバン ウィ=キ
ファイナル・プリズム,撃ち続けると収束するレーザーを連射する。'その究極の光の前には、全ては灰塵と化す！',メインハンドに所持し0秒以上スニーク,None,2,None,None,None,None,フローラ ウィ=キ
下克上,失ったものが多ければ多いほど強さを増すと伝えられている斧偉業を成し遂げ、失ったものを再び手に入れた時、この力は弱まる,装備しEntityを近接攻撃,None,20,None,None,None,None,アーバン ルーモア
ルナフレア,狙った箇所に魔法弾の雨を降らす。'月の裁き',右クリック,None,20,None,None,20,None,ニャプトフ ウィ=キ
魂炎纏,魂炎を纏う者に代償を。代償背負いし者へ力を。物理攻撃+5% 火耐性+10% 火攻撃+10% MP回復量+8% 最大体力-10%,装備,None,0,None,None,None,None,アーバン ニャプトフ ルーモア
魂炎纏,魂炎を纏う者に代償を。代償背負いし者へ力を。物理攻撃+5% 火耐性+10% 火攻撃+10% MP回復量+8% 最大体力-10%魂炎を完全に纏いし時火攻撃+10% MP回復量+8% 最大体力-10%の効果を追加で得て近接攻撃時に魂炎で対象を攻撃する。,装備,None,0,None,None,None,None,アーバン ニャプトフ ルーモア
魂炎纏,魂炎を纏う者に代償を。代償背負いし者へ力を。物理攻撃+5% 火耐性+10% 火攻撃+10% MP回復量+8% 最大体力-10%,装備,None,0,None,None,None,None,アーバン ニャプトフ ルーモア
魂炎纏,魂炎を纏う者に代償を。代償背負いし者へ力を。物理攻撃+5% 火耐性+10% 火攻撃+10% MP回復量+8% 最大体力-10%,装備,None,0,None,None,None,None,アーバン ニャプトフ ルーモア
冰刀 桜吹雪,氷桜を模った蒼い刀氷の様に冷酷に桜の様に美しく敵を斬る攻撃時、確率で氷桜を展開する。氷桜展開時周囲のMobに本来の70%分のダメージを与える。,装備しEntityを近接攻撃,None,12,None,None,6,None,フローラ アーバン ニャプトフ ルーモア
星の音,「やがて星となって再会しよう。」前方に星を発射する使用時のMPの割合により発射する星の数が変化する,右クリック,None,60,None,None,30,None,フローラ アーバン ニャプトフ ウィ=キ ルーモア
ハニービーステッキ,ハチミツを大量に内包した杖周囲のプレイヤーを回復し周囲のMobにダメージと鈍足を付与する,右クリック,None,60,None,None,100,None,フローラ ニャプトフ ルーモア
えんじぇるうぃんぐ,まだ未熟な羽のため、飛べないが、跳ぶことはできる,装備している限り,None,0,None,None,None,None,フローラ ニャプトフ ルーモア
浄刀『サムライ』,神聖な鉱石から作られたと言われる刀侍の魂を感じる...,右クリック,None,7,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ
彩雨の杖,鮮やかに彩られた雨乞いに使われた杖。ひとたび振るえば辺りに祝福の雨を降らすという。雨は癒やしをもたらし、時には罪を洗い流す。使用時、雨の降るエリアを設置する。エリア内の存在に対して敵Mobにはダメージを与えプレイヤーなら体力を12.0回復する。この回復には水攻撃補正が追加で乗る。,右クリック,None,180,None,None,None,2400,フローラ ニャプトフ ウィ=キ ルーモア
イグナイト,その火はあらゆる物を切り裂きその輝きは闇夜を払うだろう。攻撃時、前方に斬撃を放つ,装備しEntityを近接攻撃,None,30,None,None,20,None,アーバン ルーモア
Z旗,攻撃力が25%上がり、防御力が35%下がる。皇國ノ興廢此ノ一戰ニ在リ、各員一層奮勵努力セヨ,装備,,0,,,,,フローラ アーバン ウィ=キ ルーモア
D・U・T・Y,攻撃対象に周囲の敵の数に応じたダメージを与えるEngland expects that everyman will do his duty,装備しEntityを近接攻撃,,5,,,20,,フローラ アーバン ニャプトフ ウィ=キ ルーモア
アイディアル,最も理想的な装備全ての耐性を持ちあらゆる状況に対応出来る万能な防具全耐性+5%,装備,None,0,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
アイディアル,最も理想的な装備全ての耐性を持ちあらゆる状況に対応出来る万能な防具全耐性+5%,装備,None,0,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
アイディアル,最も理想的な装備全ての耐性を持ちあらゆる状況に対応出来る万能な防具全耐性+5%,装備,None,0,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
アイディアル,最も理想的な装備全ての耐性を持ちあらゆる状況に対応出来る万能な防具全耐性+5%,装備,None,0,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
メテオレイン,燃え盛る流星が天から降り注ぐ！'破壊の星々に願いを',右クリック,None,200,None,None,None,3600,アーバン ウィ=キ
エンハンスド・プロテクション,未知の金属が使用された盾...を更に強化したものと思われる構えている間攻撃を55%軽減するが攻撃力及び移動速度が低下する,アイテムを使用,None,2,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
コール: バラージュスピリット,付近の敵に魔法攻撃を行う精霊を呼び出す。既に召喚した状態では使用できない。'私が手伝ってあげる！',右クリック,None,30,None,None,600,None,フローラ ニャプトフ ルーモア
ブレイブソード,複数の敵を巻き込む、強力な斬撃を放つ。'勇気を刃に込めて！',右クリック,None,15,100,None,5,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
ソウルファイアバースト,前方に爆発する火の玉を放つ。火の玉はしばらくすると、5つの小さな火球に分裂する。'行けぇッ！',右クリック,None,40,None,None,40,None,アーバン ニャプトフ
Ark of the Sanctuary,慈しみを象徴する剣憐れみ深い神への賛歌を奏でる,右クリック,None,15,None,None,8,None,アーバン ウィ=キ ニャプトフ
癒術勲章,攻撃力が35%減少するが、体力及び魔力の回復量が20%上昇する'癒しの力を役立てる貴方へ',装備,None,150,0,None,None,None,フローラ ニャプトフ ルーモア
